"Gear"	"SampleDate"	"Station"	"SizeFraction"	"Dilution"	"TotalCells"	"Processor"	"ProcessDate"	"ProcessingTime"	"AmphipodProcessingTime"	"QC"	"QCDate"	"QCTime"	"Jellies"	"Fish"	"Archive"	"LabComments"
1	1/10/1972 0:00:00	"78"	0	200.00	3					0			0	0		
1	1/10/1972 0:00:00	"80"	0	50.00	1					0			0	0		
1	1/10/1972 0:00:00	"82"	0	200.00	3					0			0	0		
1	1/10/1972 0:00:00	"84"	0	50.00	5					0			0	0		
1	1/10/1972 0:00:00	"86"	0	100.00	2					0			0	0		
1	1/10/1972 0:00:00	"88"	0	100.00	1					0			0	0		
1	1/10/1972 0:00:00	"90"	0	200.00	1					0			0	0		
1	1/10/1972 0:00:00	"92"	0	200.00	1					0			0	0		
1	1/10/1972 0:00:00	"98"	0	100.00	1					0			0	0		
1	1/10/1972 0:00:00	"D14"	0	50.00	1					0			0	0		
1	1/10/1972 0:00:00	"D15"	0	200.00	3					0			0	0		
1	1/10/1972 0:00:00	"D28"	0	100.00	1					0			0	0		
1	1/11/1972 0:00:00	"104"	0	100.00	3					0			0	0		
1	1/11/1972 0:00:00	"60"	0	50.00	9					0			0	0		
1	1/11/1972 0:00:00	"62"	0	50.00	2					0			0	0		
1	1/11/1972 0:00:00	"64"	0	25.00	1					0			0	0		
1	1/11/1972 0:00:00	"66"	0	50.00	2					0			0	0		
1	1/11/1972 0:00:00	"68"	0	25.00	2					0			0	0		
1	1/11/1972 0:00:00	"72"	0	25.00	14					0			0	0		
1	1/11/1972 0:00:00	"74"	0	50.00	3					0			0	0		
1	1/11/1972 0:00:00	"76"	0	100.00	5					0			0	0		
1	1/11/1972 0:00:00	"D11"	0	50.00	2					0			0	0		
1	1/11/1972 0:00:00	"D19"	0	50.00	1					0			0	0		
1	1/12/1972 0:00:00	"20"	0	50.00	3					0			0	0		
1	1/12/1972 0:00:00	"22"	0	400.00	4					0			0	0		
1	1/12/1972 0:00:00	"24"	0	100.00	1					0			0	0		
1	1/12/1972 0:00:00	"28"	0	25.00	3					0			0	0		
1	1/12/1972 0:00:00	"30"	0	100.00	1					0			0	0		
1	1/12/1972 0:00:00	"32"	0	200.00	2					0			0	0		
1	1/12/1972 0:00:00	"36"	0	25.00	1					0			0	0		
1	1/12/1972 0:00:00	"38"	0	25.00	1					0			0	0		
1	1/12/1972 0:00:00	"40"	0	100.00	2					0			0	0		
1	1/13/1972 0:00:00	"33"	0	50.00	1					0			0	0		
1	1/13/1972 0:00:00	"34"	0	50.00	2					0			0	0		
1	1/13/1972 0:00:00	"42"	0	200.00	2					0			0	0		
1	1/13/1972 0:00:00	"44"	0	100.00	1					0			0	0		
1	1/13/1972 0:00:00	"46"	0	50.00	2					0			0	0		
