"water_year","All taxa","Acartia Adult","Acartiella sinensis Adult","Daphnia Adult","Diaphanosoma Adult","Eurytemora affinis Adult","Eurytemora affinis Juvenile","Limnoithona tetraspina Adult","Neomysis mercedis Adult","Pseudodiaptomus forbesi Adult","Pseudodiaptomus Juvenile","Tortanus Adult","Hyperacanthomysis longirostris Adult","Neomysis kadiakensis Adult"
1975,49458.3597982997,1539.53777359951,NA,10216.3702770484,476.775733054339,9633.60183771658,NA,NA,30293.4862299977,NA,NA,NA,NA,NA
1976,64868.3904246628,12455.6527068988,NA,6328.93792795207,271.540668773805,7507.76137397814,NA,NA,48129.9639077295,NA,NA,NA,NA,NA
1977,35253.3178441623,25993.2988738391,NA,2354.36142759074,634.461327036172,5359.5547211646,NA,NA,4646.46052575519,NA,NA,NA,NA,NA
1978,58936.5818025436,6821.31373325135,NA,2953.63807342801,373.304656304734,17710.8943086828,NA,NA,32756.0989196733,NA,NA,NA,NA,NA
1979,42147.3378517487,7434.29953667698,NA,3186.48697637835,174.784165879438,9742.04422236429,NA,1.55839729405163,22132.8777150652,NA,NA,NA,NA,NA
1980,56106.853188345,5098.19062649179,NA,5067.01216818839,194.249366921281,7346.37680234028,NA,264.723722547657,38631.6463869602,NA,NA,NA,NA,NA
1981,39199.2024644887,10363.0494799977,NA,1782.26727590263,224.584709361278,7760.167302511,NA,577.079358677233,24628.2206680958,NA,NA,NA,NA,NA
1982,46738.8134919673,1791.29020126961,NA,678.19150868963,79.2478727683936,5436.75291993469,NA,337.702048726048,48937.2019823813,NA,NA,NA,NA,NA
1983,12747.1521612461,770.403754109833,NA,918.718950449717,159.386704556485,1645.15928923439,NA,390.488251191315,10807.6117111295,NA,NA,NA,NA,NA
1984,39748.6271206474,4837.46617728578,NA,1298.86918429435,231.363374905802,8335.91626149349,NA,710.98374780919,25094.7098441775,NA,NA,NA,NA,NA
1985,53066.29400083,10510.1337233277,NA,1928.47316279794,224.021030769879,4579.43998098874,NA,528.487720408723,44488.8103975422,NA,NA,NA,NA,NA
1986,77998.533682479,4691.90800232406,NA,1468.5059635833,326.294037455173,8502.02916361304,NA,106.323744113356,70829.3945918338,NA,NA,NA,NA,NA
1987,32284.7959831338,4553.71618827043,NA,2271.68095910565,122.52075900463,4385.91591133937,NA,579.58334215581,20940.5917173468,NA,NA,NA,NA,NA
