"water_year","All Taxa","Acartia Adult","Acartiella sinensis Adult","Daphnia Adult","Diaphanosoma Adult","Eurytemora affinis Adult","Eurytemora affinis Juvenile","Hyperacanthomysis longirostris Adult","Limnoithona tetraspina Adult","Neomysis kadiakensis Adult","Neomysis mercedis Adult","Pseudodiaptomus forbesi Adult","Pseudodiaptomus Juvenile","Tortanus Adult"
1975,86.0867744163013,50.0819865239215,NA,109.900592668043,100.313651867817,64.0794459057452,NA,NA,NA,NA,62.7253566143582,NA,NA,NA
1976,74.7650855542174,56.162497608403,NA,113.142708837649,106.119624695706,73.8941404201255,NA,NA,NA,NA,72.0111534931818,NA,NA,NA
1977,75.1450065512308,60.9984107720043,NA,116.162594127957,108.9044288509,86.554185440593,NA,NA,NA,NA,94.4424541552621,NA,NA,NA
1978,56.2722920688523,45.3926439658536,NA,111.946295040812,105.472227917313,61.0613380812473,NA,NA,NA,NA,66.7243848737988,NA,NA,NA
1979,58.046722025484,47.9739729420957,NA,113.199573389969,109.262852198732,65.6956090519632,NA,NA,95.0216867194476,NA,68.0321008541796,NA,NA,NA
1980,57.3329986810471,40.4724585629151,NA,92.5637104590342,106.27334001979,59.5662544316647,NA,NA,99.7596402904853,39.5064494962746,63.178237387075,NA,NA,NA
1981,72.510402667671,49.8793241166648,NA,111.285875806874,115.221809716976,66.6151238580836,NA,NA,98.239416243298,39.5064494962746,71.5756699604004,NA,NA,NA
1982,51.3426672407347,36.272744039252,NA,101.929881395142,104.41336817659,52.571073674607,NA,NA,79.7988341022773,31.8731628071788,65.2422781151663,NA,NA,NA
1983,53.1673988756584,34.1038670927826,NA,105.4776473102,81.3080750954725,44.1829014236488,NA,NA,75.3125159926182,NA,60.5583358045732,NA,NA,NA
1984,69.568265759001,45.6750279047507,NA,106.774966075187,99.3310568598571,61.7001427689442,NA,NA,93.9467245761849,NA,68.4332606862146,NA,NA,NA
1985,78.3549497578116,52.8294576371603,NA,114.474745861941,116.160131712846,70.7965156157555,NA,NA,95.8976381223274,NA,70.0738082698364,NA,NA,NA
1986,52.6197876921399,41.9116233798339,NA,100.865088884757,108.34350423349,61.9696521524169,NA,NA,99.9535867413118,17.2719793992166,67.4839539686341,NA,NA,NA
1987,82.3391412382528,50.3074681720971,NA,105.959788797533,112.034603510325,76.5998591298846,NA,NA,104.037634913968,NA,71.4122832319591,NA,NA,NA
1988,103.56475500082,53.9546701014402,NA,115.573338689712,114.031603723506,106.184086520772,NA,NA,109.88942211277,NA,76.1882634289289,89.5139905102775,NA,NA
1989,88.5114123998829,53.4295989875469,NA,113.370067289158,111.934183446113,78.3435237353137,74.3361945179215,NA,106.929201595277,NA,69.5157512902567,85.1563454360871,NA,NA
1990,94.3127301787999,53.8634579616115,NA,116.410681657729,111.91863113993,88.8893368519696,82.7302739367731,NA,108.464430177995,NA,70.4524621582746,85.3636041216176,96.8054545640633,NA
1991,97.0544595036396,56.5641832831197,NA,112.659946493301,112.800525597003,95.2171344982865,90.2466617615948,NA,110.534003125791,NA,69.0340096588925,89.6212719012561,99.926651154409,NA
1992,84.7616931279549,47.6987683949565,NA,109.71742140042,113.478522291825,99.6054536597954,87.2441893603804,NA,110.315984682399,NA,67.8490418874874,90.5041819410205,99.9075521177335,NA
