"water_year","BPUE_ug"
1975,49458.3597982997
1976,64868.3904246628
1977,34043.3154667097
1978,47104.5465336498
1979,38555.1212647702
1980,47119.2049972951
1981,36040.8828460577
1982,38904.8190020048
1983,12173.5223698958
1984,39748.6271206474
1985,53066.29400083
1986,77998.533682479
1987,32284.7959831338
1988,19991.0744669926
1989,37601.7140666136
1990,27576.1801037016
1991,30851.6594106439
1992,26509.3422301534
1993,29767.3398441219
1994,40644.8549224569
1995,13390.3296050239
1996,12168.7904142421
1997,17182.7032373925
1998,20627.5585603416
1999,25017.3276721559
2000,24245.3745948968
2001,18907.0401115464
2002,27834.0092911873
2003,24946.147989238
2004,20660.1632707841
2005,17311.728799061
2006,21051.7367545413
2007,22687.271702152
2008,26062.1113458304
2009,20479.3576529492
2010,21002.9245966202
2011,17936.8034141652
2012,19880.1299752181
2013,25590.703370097
2014,36929.7162679975
2015,33703.3739029023
2016,34441.9654348294
2017,34034.5387154764
2018,29878.624095358
2019,28366.8210227364
2020,2141.4715968424
2021,101.143079812496
