"Region","water_year","reg_CPUE"
"Confluence",1975,817.150076058201
"Confluence",1976,1725.18673132617
"Confluence",1977,2795.39527777778
"Confluence",1978,1013.93504094735
"Confluence",1979,672.745857485752
"Confluence",1980,1564.5846712841
"Confluence",1981,1451.27076826828
"Confluence",1982,571.88011866239
"Confluence",1983,554.455085859631
"Confluence",1984,2019.81986220165
"Confluence",1985,2209.33802344127
"Confluence",1986,804.663182835143
"Confluence",1987,1929.8825125318
"Confluence",1988,1176.12269854626
"Confluence",1989,1832.96291245791
"Confluence",1990,3713.55707977208
"Confluence",1991,2991.69250363699
"Confluence",1992,4449.69342314119
"Confluence",1993,5440.27351254271
"Confluence",1994,11291.8883333333
"Confluence",1995,2398.75238331011
"Confluence",1996,5127.74274156809
"Confluence",1997,11328.1896813205
"Confluence",1998,5286.47993452614
"Confluence",1999,14725.2004144372
"Confluence",2000,11467.1931148089
"Confluence",2001,16038.8859255348
"Confluence",2002,14901.3279304033
"Confluence",2003,9732.28006013339
"Confluence",2004,11162.0903774902
"Confluence",2005,5462.04484413221
"Confluence",2006,5884.31274091609
"Confluence",2007,5708.58537806235
"Confluence",2008,8999.02332851966
"Confluence",2009,10377.9431779477
"Confluence",2010,8688.40081725911
"Confluence",2011,3749.2609112417
"Confluence",2012,6442.3943687683
"Confluence",2013,7641.78628636431
"Confluence",2014,10481.2545434206
"Confluence",2015,10303.0136530285
"Confluence",2016,8957.21182943699
"Confluence",2017,9637.27119505828
"Confluence",2018,8960.96146449445
"Confluence",2019,6157.3788276717
"North",1975,53.9282407407407
"North",1976,113.84712962963
"North",1977,546.630213252599
"North",1978,72.9171759259259
"North",1979,94.653253968254
"North",1980,650.188373015873
"North",1981,455.559388888889
"North",1982,351.381277777778
"North",1983,189.183138888889
"North",1984,1119.08944444444
"North",1985,721.332777777778
"North",1986,102.334166666667
"North",1987,941.854444444444
"North",1988,103.598611111111
"North",1989,334.929444444444
"North",1990,763.5575
"North",1991,553.205277777778
"North",1992,246.032222222222
"North",1993,762.683888888889
"North",1995,935.459250048904
"North",1996,99.2493868997403
"North",1997,681.285289672384
"North",1998,2008.43804699321
"North",1999,2228.7973011059
"North",2000,1737.48452034721
"North",2001,5001.80418788566
"North",2002,1238.19990945735
"North",2003,1152.87057103234
"North",2004,977.063401792501
"North",2005,2195.21032542498
"North",2006,6359.75961192728
"North",2007,5293.59433158321
"North",2008,4188.0071800658
"North",2009,5579.73643139406
"North",2010,4704.44529387911
"North",2011,4237.1915316768
"North",2012,4949.98493638223
"North",2013,5041.83284324398
"North",2014,7488.08978095506
"North",2015,8596.69134397294
"North",2016,5656.6539042637
"North",2017,6998.61420968386
"North",2018,5366.07983179924
"North",2019,7659.45254960317
"SouthCentral",1975,3725.81604580897
"SouthCentral",1976,2653.9460037037
"SouthCentral",1977,1786.78384006734
"SouthCentral",1978,1424.00912222222
"SouthCentral",1979,1239.83734988397
"SouthCentral",1980,2373.56842222222
"SouthCentral",1981,4410.5054691358
"SouthCentral",1982,743.686799387825
