"water_year","szn_CPUE"
1975,1843.89126982443
1976,2322.59563830295
1977,2627.11750290944
1978,1847.02527805898
1979,1546.16127603841
1980,1809.78394316209
1981,2529.22379133221
1982,1182.93657979333
1983,1124.00452110954
1984,2847.34679448031
1985,2619.25596017653
1986,1563.7559378497
1987,2192.70797487742
1988,1676.06863373353
1989,2805.44259659817
1990,3217.48540621897
1991,3010.27485449147
1992,3990.53310518393
1993,4178.68232137178
1994,13960.3474537037
1995,3706.16875368443
1996,3938.79335230358
1997,6806.80197991424
1998,6696.87371510223
1999,11568.1945460361
2000,9804.10505400334
2001,9735.40580286744
2002,16005.22677486
2003,11529.8522806246
2004,10661.5733699409
2005,7332.79315960622
2006,7956.88731768302
2007,7890.17958369179
2008,10121.1598108912
2009,9627.69486702471
2010,7623.76514820849
2011,4920.64375340134
2012,8559.60807657244
2013,9351.2627002238
2014,11122.2866642153
2015,11427.594386287
2016,11647.3851353142
2017,10890.3179091321
2018,9438.15271891525
2019,10092.6980594376
2020,6238.08455555556
