"water_year","Season","BPUE_ug"
1975,"Fall",9143.14356631915
1975,"Spring",23616.3569625214
1975,"Summer",34040.9732735332
1976,"Fall",6455.37178269066
1976,"Spring",29886.4636877774
1976,"Summer",23871.5910549778
1977,"Fall",7931.249982201
1977,"Spring",11734.1941749141
1977,"Summer",9797.26739840445
1978,"Fall",13045.5605524055
1978,"Spring",43191.3938737542
1978,"Summer",29007.4784449589
1978,"Winter",1141.85255453661
1979,"Fall",5981.24366494085
1979,"Spring",17357.8509774993
1979,"Summer",18323.8062204885
1979,"Winter",3953.75398954103
1980,"Fall",15917.2473018392
1980,"Spring",37228.5367578355
1980,"Summer",21266.7736547377
1980,"Winter",4810.43448815875
1981,"Fall",3708.94743148231
1981,"Spring",16159.371409573
1981,"Summer",21177.3124047402
1981,"Winter",4636.88073656213
1982,"Fall",9172.90465050161
1982,"Spring",27087.4189646708
1982,"Summer",52234.2535410603
1982,"Winter",4649.72221046777
1983,"Fall",3536.52482852936
1983,"Summer",21872.2572037396
1983,"Winter",1971.49115905224
1984,"Fall",5803.87140490656
1984,"Spring",19789.3133107801
1984,"Summer",19851.1597160279
1985,"Fall",4333.65404537228
1985,"Spring",21165.9942072406
1985,"Summer",31148.8239697272
1986,"Fall",7060.34908495007
1986,"Spring",43754.7130585491
1986,"Summer",39308.2750936153
1987,"Fall",2974.70930273102
1987,"Spring",17409.3761367998
1987,"Summer",6077.9671683593
1988,"Fall",4516.120474332
1988,"Spring",5514.10921493027
1988,"Summer",7415.61369434117
1989,"Fall",8295.40105863611
1989,"Spring",4321.67202486252
1989,"Summer",17120.5700399939
1990,"Fall",9343.08529642733
1990,"Spring",5718.16198140149
1990,"Summer",13356.7209448095
1991,"Fall",9675.30039637911
1991,"Spring",6059.24224198802
1991,"Summer",8619.53753691412
1992,"Fall",9947.63327329815
1992,"Spring",4549.91734893999
1992,"Summer",9909.94683734684
1993,"Fall",5717.21283679589
1993,"Spring",9573.78530225651
1993,"Summer",18448.193186764
1994,"Fall",4064.41214957179
1994,"Spring",580.882821350436
1994,"Summer",4489.43237712303
1995,"Fall",4048.60225682233
1995,"Spring",13974.888921154
1995,"Summer",9620.89551147811
1995,"Winter",1643.36187074586
1996,"Fall",2585.28877830497
1996,"Spring",5246.34942189042
1996,"Summer",6566.6944195173
1996,"Winter",690.013543021425
1997,"Fall",5688.73461545192
1997,"Spring",2066.22842628985
1997,"Summer",6766.33603563726
1997,"Winter",982.681259367423
1998,"Fall",5300.8422148504
1998,"Spring",13443.5298951644
1998,"Summer",11650.0950959717
1998,"Winter",960.187797060195
1999,"Fall",8559.96474839711
1999,"Spring",5923.80983525596
1999,"Summer",7746.63669834524
1999,"Winter",985.40030895931
2000,"Fall",7934.84958037815
2000,"Spring",6033.17444182823
2000,"Summer",5652.33783516728
2000,"Winter",1532.21928030166
2001,"Fall",5240.26971168958
2001,"Spring",2013.52848549291
2001,"Summer",6101.88105309382
2001,"Winter",1569.71920425064
2002,"Fall",4830.16942663563
2002,"Spring",2911.74727488179
2002,"Summer",7383.86947772844
2002,"Winter",1523.64005089628
2003,"Fall",4964.096066982
2003,"Spring",2513.56300962819
2003,"Summer",7422.46358685541
2003,"Winter",2206.83805805391
2004,"Fall",3991.97179351594
2004,"Spring",1856.97538480449
2004,"Summer",5536.51710206991
2004,"Winter",1035.09115080437
2005,"Fall",4186.57456499042
2005,"Spring",1924.7680519523
2005,"Summer",6703.2440688168
2005,"Winter",1449.53654568818
2006,"Fall",4523.08969204825
2006,"Summer",14363.7720447542
2006,"Winter",2975.95597409554
2007,"Fall",4158.84137472691
2007,"Spring",1567.92811881878
2007,"Summer",6401.90344527112
2007,"Winter",1241.69658390378
2008,"Fall",3902.86504002929
2008,"Spring",5984.23092019503
2008,"Summer",7038.50547602397
2008,"Winter",2874.46341062017
2009,"Fall",4405.77419430159
2009,"Spring",2684.2691664988
2009,"Summer",6351.7053146107
2009,"Winter",877.60610892594
2010,"Fall",5062.89896392897
2010,"Spring",1692.7408129018
2010,"Summer",4821.10944159313
2010,"Winter",1281.36550155316
