"water_year","Season","BPUE_ug"
2010,"Fall",3589.60126531251
2010,"Spring",2380.85068880921
2010,"Summer",2748.80731739487
2010,"Winter",1281.36550155316
2011,"Fall",4300.1884922194
2011,"Spring",3655.66766888363
2011,"Summer",7084.05022888281
2011,"Winter",1920.50059293797
2012,"Fall",8578.62058589405
2012,"Spring",2216.27863169635
2012,"Summer",3930.09852522668
2012,"Winter",1231.24827890339
2013,"Fall",5593.10571265863
2013,"Spring",3522.91358780548
2013,"Summer",4545.89504048404
2013,"Winter",2257.6086720476
2014,"Fall",9118.02729273076
2014,"Spring",2859.44493476777
2014,"Summer",8720.52002032433
2014,"Winter",1306.93490387564
2015,"Fall",9607.3141612925
2015,"Spring",4259.70092707242
2015,"Summer",15211.7932927848
2015,"Winter",1941.32056752796
2016,"Fall",6034.73629090897
2016,"Spring",2962.22583016869
2016,"Summer",4943.52387715598
2016,"Winter",4213.67183571289
2017,"Fall",6057.80927264656
2017,"Spring",7886.49559426575
2017,"Summer",15627.6825086384
2017,"Winter",3078.31999164367
2018,"Fall",4916.70654436421
2018,"Spring",4410.48607251768
2018,"Summer",6202.27460416853
2018,"Winter",1963.51771650588
2019,"Fall",3337.30444377994
2019,"Spring",9835.84342354978
2019,"Summer",13390.289992645
2019,"Winter",1866.7358188773
2020,"Winter",1048.38956452763
